CSE,504,01,Fall,2020,TUTH 11:30AM-12:50PM
CSE,505,01,Fall,2020,MW 10:30AM-11:50AM
CSE,512,01,Fall,2020,MW 02:40PM-04:00PM
CSE,518,01,Fall,2020,TUTH 01:15PM-02:35PM
CSE,519,01,Fall,2020,TUTH 09:45AM-11:05AM
CSE,522,01,Fall,2020,
CSE,523,01,Fall,2020,
CSE,524,01,Fall,2020,
CSE,527,01,Fall,2020,TUTH 04:45PM-06:05PM
CSE,529,02,Fall,2020,TUTH 03:00PM-04:20PM
CSE,532,01,Fall,2020,TUTH 08:00AM-09:20AM
CSE,534,01,Fall,2020,MW 11:45AM-01:05PM
CSE,535,01,Fall,2020,MW 07:50PM-09:10PM
CSE,537,01,Fall,2020,MF 01:00PM-02:20PM
CSE,538,01,Fall,2020,MW 08:30AM-09:50AM
CSE,541,01,Fall,2020,TUTH 06:30PM-07:50PM
CSE,547,01,Fall,2020,MW 08:15PM-09:35PM
CSE,548,01,Fall,2020,MW 06:05PM-07:25PM
CSE,550,01,Fall,2020,TU 09:15AM-10:10AM
CSE,587,01,Fall,2020,
CSE,593,01,Fall,2020,
CSE,595,30,Fall,2020,
CSE,596,01,Fall,2020,
CSE,597,01,Fall,2020,
CSE,599,01,Fall,2020,
CSE,600,01,Fall,2020,F 02:40PM-03:35PM
CSE,642,01,Fall,2020,F 11:45AM-01:00PM
CSE,643,01,Fall,2020,TH 09:00PM-10:00PM
CSE,645,01,Fall,2020,TH 11:30AM-12:50PM
CSE,654,30,Fall,2020,W 10:30AM-12:00PM
CSE,655,30,Fall,2020,F 01:00PM-02:15PM
CSE,656,01,Fall,2020,W 04:25PM-05:45PM
CSE,658,30,Fall,2020,M 10:30AM-11:25AM
CSE,659,01,Fall,2020,M 11:45AM-12:40PM
CSE,696,01,Fall,2020,
CSE,697,01,Fall,2020,
CSE,698,01,Fall,2020,
CSE,699,20,Fall,2020,
ESE,502,01,Fall,2020,M 06:05PM-09:00PM
ESE,503,01,Fall,2020,W 06:05PM-07:25PM
ESE,505,01,Fall,2020,TU 04:45PM-07:35PM
ESE,507,01,Fall,2020,MW 04:25PM-05:45PM
ESE,511,01,Fall,2020,TU 04:45PM-07:35PM
ESE,516,01,Fall,2020,W 04:25PM-07:15PM
ESE,523,01,Fall,2020,TU 09:15AM-10:10AM
ESE,528,01,Fall,2020,TUTH 04:45PM-06:05PM
ESE,534,01,Fall,2020,W 04:25PM-07:15PM
ESE,537,01,Fall,2020,TH 06:30PM-09:20PM
ESE,540,01,Fall,2020,M 04:25PM-05:45PM
ESE,542,01,Fall,2020,M 06:05PM-09:00PM
ESE,546,01,Fall,2020,TH 06:30PM-09:20PM
ESE,547,02,Fall,2020,TUTH 08:15PM-09:35PM
ESE,554,01,Fall,2020,TU 06:30PM-09:20PM
ESE,555,01,Fall,2020,TUTH 04:45PM-06:05PM
